rank,gene_id,protein_id,protein_name,log2_fold_change,fold_change,p_value,cellular_location,immunogenicity_score,combined_score
2114,ENSG00000206909,ENSP00000206909,SNORA70J protein,1.69,3.23,4.598e-03,nucleus,0.51,1.641
2115,ENSG00000168918,ENSP00000168918,INPP5D protein,1.66,3.16,3.837e-05,cytoplasm,0.75,1.640
2116,ENSG00000272505,ENSP00000272505,ENSG00000272505 protein,1.74,3.34,1.491e-03,unknown,0.05,1.640
2117,ENSG00000262663,ENSP00000262663,ENSG00000262663 protein,1.74,3.35,1.623e-02,unknown,0.05,1.640
2118,ENSG00000186230,ENSP00000186230,ZNF749 protein,1.68,3.21,7.025e-07,nucleus,0.54,1.639
2119,ENSG00000101442,ENSP00000101442,ACTR5 protein,1.68,3.21,2.664e-05,nucleus,0.57,1.639
2120,ENSG00000250697,ENSP00000250697,ENSG00000250697 protein,1.74,3.35,1.990e-02,unknown,0.05,1.639
2121,ENSG00000225470,ENSP00000225470,JPX protein,1.65,3.13,7.150e-05,membrane,0.86,1.639
2122,ENSG00000163737,ENSP00000163737,PF4 protein,1.66,3.16,3.070e-02,secreted,0.82,1.638
2123,ENSG00000233155,ENSP00000233155,ENSG00000233155 protein,1.74,3.33,2.899e-04,unknown,0.05,1.638
2124,ENSG00000111788,ENSP00000111788,ENSG00000111788 protein,1.73,3.32,4.939e-05,unknown,0.1,1.638
2125,ENSG00000267141,ENSP00000267141,ENSG00000267141 protein,1.74,3.33,1.539e-03,unknown,0.05,1.638
2126,ENSG00000167914,ENSP00000167914,GSDMA protein,1.67,3.18,4.815e-03,cytoplasm,0.6599999999999999,1.637
2127,ENSG00000148019,ENSP00000148019,CEP78 protein,1.67,3.18,8.129e-08,cytoplasm,0.6499999999999999,1.637
2128,ENSG00000197446,ENSP00000197446,CYP2F1 protein,1.65,3.15,7.997e-03,membrane,0.81,1.637
2129,ENSG00000181163,ENSP00000181163,NPM1 protein,1.66,3.16,8.954e-07,nucleus,0.7100000000000001,1.636
2130,ENSG00000288571,ENSP00000288571,ENSG00000288571 protein,1.74,3.33,7.659e-03,unknown,0.05,1.636
2131,ENSG00000261556,ENSP00000261556,ENSG00000261556 protein,1.73,3.32,3.650e-05,unknown,0.1,1.636
2132,ENSG00000181218,ENSP00000181218,H2AC25 protein,1.67,3.18,3.249e-05,nucleus,0.63,1.636
2133,ENSG00000205208,ENSP00000205208,C4orf46 protein,1.66,3.16,4.425e-08,cytoplasm,0.71,1.636
2134,ENSG00000262136,ENSP00000262136,ENSG00000262136 protein,1.73,3.33,9.408e-04,unknown,0.05,1.635
2135,ENSG00000273243,ENSP00000273243,ENSG00000273243 protein,1.73,3.33,2.740e-03,unknown,0.05,1.635
2136,ENSG00000175643,ENSP00000175643,RMI2 protein,1.68,3.20,2.915e-07,nucleus,0.54,1.635
2137,ENSG00000120659,ENSP00000120659,TNFSF11 protein,1.64,3.11,1.176e-03,membrane,0.91,1.635
2138,ENSG00000183527,ENSP00000183527,PSMG1 protein,1.63,3.09,7.572e-06,membrane,0.97,1.635
2139,ENSG00000119547,ENSP00000119547,ONECUT2 protein,1.66,3.17,3.181e-03,nucleus,0.6799999999999999,1.635
2140,ENSG00000187951,ENSP00000187951,ENSG00000187951 protein,1.73,3.31,4.778e-05,unknown,0.1,1.633
2141,ENSG00000215388,ENSP00000215388,ENSG00000215388 protein,1.73,3.33,7.288e-03,unknown,0.05,1.633
2142,ENSG00000272954,ENSP00000272954,ENSG00000272954 protein,1.73,3.32,2.633e-03,unknown,0.05,1.633
2143,ENSG00000230295,ENSP00000230295,ENSG00000230295 protein,1.73,3.32,4.521e-03,unknown,0.05,1.633
2144,ENSG00000149150,ENSP00000149150,SLC43A1 protein,1.63,3.10,6.115e-06,membrane,0.92,1.632
2145,ENSG00000173531,ENSP00000173531,MST1 protein,1.73,3.31,1.364e-03,unknown,0.1,1.632
2146,ENSG00000236772,ENSP00000236772,ENSG00000236772 protein,1.73,3.32,3.057e-03,unknown,0.05,1.632
2147,ENSG00000272525,ENSP00000272525,ENSG00000272525 protein,1.73,3.32,1.466e-03,unknown,0.05,1.632
2148,ENSG00000170417,ENSP00000170417,TMEM182 protein,1.64,3.11,4.649e-07,membrane,0.89,1.632
2149,ENSG00000231607,ENSP00000231607,ENSG00000231607 protein,1.72,3.30,4.282e-05,unknown,0.1,1.632
2150,ENSG00000189369,ENSP00000189369,GSPT2 protein,1.65,3.15,1.048e-05,cytoplasm,0.73,1.631
2151,ENSG00000143921,ENSP00000143921,ABCG8 protein,1.64,3.12,2.595e-02,membrane,0.92,1.631
2152,ENSG00000272899,ENSP00000272899,ENSG00000272899 protein,1.73,3.33,1.562e-02,unknown,0.05,1.631
2153,ENSG00000279926,ENSP00000279926,ENSG00000279926 protein,1.73,3.32,7.687e-03,unknown,0.05,1.630
2154,ENSG00000168811,ENSP00000168811,IL12A protein,1.64,3.12,3.909e-03,secreted,0.84,1.630
2155,ENSG00000288573,ENSP00000288573,ENSG00000288573 protein,1.73,3.31,2.502e-05,unknown,0.05,1.630
2156,ENSG00000151006,ENSP00000151006,PRSS53 protein,1.65,3.13,5.082e-03,secreted,0.79,1.630
2157,ENSG00000152749,ENSP00000152749,GPR180 protein,1.62,3.07,1.454e-07,membrane,1,1.630
2158,ENSG00000101000,ENSP00000101000,PROCR protein,1.63,3.10,1.878e-03,secreted,0.9,1.629
2159,ENSG00000132967,ENSP00000132967,ENSG00000132967 protein,1.72,3.30,3.579e-07,unknown,0.1,1.629
2160,ENSG00000196247,ENSP00000196247,ZNF107 protein,1.67,3.19,2.900e-03,nucleus,0.53,1.629
2161,ENSG00000183199,ENSP00000183199,ENSG00000183199 protein,1.72,3.30,8.044e-08,unknown,0.1,1.628
2162,ENSG00000183850,ENSP00000183850,ZNF730 protein,1.69,3.22,2.420e-02,nucleus,0.48,1.628
2163,ENSG00000112759,ENSP00000112759,SLC29A1 protein,1.62,3.08,1.965e-05,membrane,0.95,1.628
2164,ENSG00000225968,ENSP00000225968,ELFN1 protein,1.66,3.15,8.101e-03,secreted,0.69,1.628
2165,ENSG00000095059,ENSP00000095059,DHPS protein,1.66,3.15,1.694e-03,cytoplasm,0.6699999999999999,1.627
2166,ENSG00000243550,ENSP00000243550,ENSG00000243550 protein,1.73,3.31,9.966e-03,unknown,0.05,1.627
2167,ENSG00000101294,ENSP00000101294,HM13 protein,1.62,3.07,4.796e-06,membrane,0.99,1.626
2168,ENSG00000234062,ENSP00000234062,ENSG00000234062 protein,1.72,3.29,7.168e-05,unknown,0.1,1.626
2169,ENSG00000108641,ENSP00000108641,B9D1 protein,1.66,3.16,1.221e-08,cytoplasm,0.63,1.626
2170,ENSG00000165675,ENSP00000165675,ENOX2 protein,1.63,3.09,1.188e-06,membrane,0.91,1.625
2171,ENSG00000285210,ENSP00000285210,ENSG00000285210 protein,1.72,3.30,3.512e-03,unknown,0.05,1.625
2172,ENSG00000136688,ENSP00000136688,IL36G protein,1.65,3.15,3.125e-02,secreted,0.75,1.625
2173,ENSG00000175877,ENSP00000175877,TMEM270 protein,1.64,3.11,6.863e-04,membrane,0.8200000000000001,1.625
2174,ENSG00000114631,ENSP00000114631,PODXL2 protein,1.62,3.08,1.288e-05,membrane,0.91,1.625
2175,ENSG00000222019,ENSP00000222019,ENSG00000222019 protein,1.72,3.30,5.864e-03,unknown,0.05,1.624
2176,ENSG00000203288,ENSP00000203288,ENSG00000203288 protein,1.72,3.30,8.453e-06,unknown,0.05,1.624
2177,ENSG00000250899,ENSP00000250899,ENSG00000250899 protein,1.72,3.29,1.692e-05,unknown,0.1,1.624
2178,ENSG00000129667,ENSP00000129667,RHBDF2 protein,1.61,3.06,2.417e-05,membrane,0.99,1.624
2179,ENSG00000287530,ENSP00000287530,ENSG00000287530 protein,1.72,3.30,8.353e-03,unknown,0.05,1.624
2180,ENSG00000111716,ENSP00000111716,LDHB protein,1.63,3.09,1.034e-04,membrane,0.88,1.624
2181,ENSG00000170448,ENSP00000170448,NFXL1 protein,1.67,3.18,3.659e-10,nucleus,0.5,1.623
2182,ENSG00000126226,ENSP00000126226,PCID2 protein,1.66,3.16,2.713e-06,nucleus,0.61,1.623
2183,ENSG00000185666,ENSP00000185666,SYN3 protein,1.63,3.09,4.007e-02,membrane,1,1.623
2184,ENSG00000204394,ENSP00000204394,VARS1 protein,1.63,3.10,2.329e-07,cytoplasm,0.84,1.623
2185,ENSG00000163599,ENSP00000163599,CTLA4 protein,1.62,3.07,3.985e-04,membrane,0.93,1.622
2186,ENSG00000067955,ENSP00000067955,CBFB protein,1.66,3.16,2.877e-06,nucleus,0.58,1.621
2187,ENSG00000283078,ENSP00000283078,ENSG00000283078 protein,1.71,3.28,3.382e-03,unknown,0.1,1.621
2188,ENSG00000279331,ENSP00000279331,ENSG00000279331 protein,1.72,3.29,7.871e-04,unknown,0.05,1.620
2189,ENSG00000234377,ENSP00000234377,ENSG00000234377 protein,1.72,3.29,2.407e-04,unknown,0.05,1.620
2190,ENSG00000277692,ENSP00000277692,ENSG00000277692 protein,1.72,3.30,1.210e-02,unknown,0.05,1.620
2191,ENSG00000146731,ENSP00000146731,CCT6A protein,1.64,3.13,9.846e-07,cytoplasm,0.7,1.620
2192,ENSG00000224020,ENSP00000224020,ENSG00000224020 protein,1.72,3.29,2.731e-03,unknown,0.05,1.620
2193,ENSG00000268521,ENSP00000268521,ENSG00000268521 protein,1.72,3.29,1.191e-05,unknown,0.05,1.619
2194,ENSG00000110844,ENSP00000110844,PRPF40B protein,1.65,3.15,4.258e-06,nucleus,0.6,1.619
2195,ENSG00000174365,ENSP00000174365,SNHG11 protein,1.66,3.17,2.721e-04,nucleus,0.51,1.619
2196,ENSG00000207751,ENSP00000207751,ENSG00000207751 protein,1.72,3.29,3.986e-04,unknown,0.05,1.619
2197,ENSG00000257761,ENSP00000257761,ENSG00000257761 protein,1.72,3.29,1.041e-03,unknown,0.05,1.619
2198,ENSG00000228427,ENSP00000228427,ENSG00000228427 protein,1.72,3.30,1.540e-02,unknown,0.05,1.619
2199,ENSG00000168679,ENSP00000168679,SLC16A4 protein,1.62,3.07,2.312e-03,membrane,0.8999999999999999,1.618
2200,ENSG00000279844,ENSP00000279844,ENSG00000279844 protein,1.73,3.32,4.831e-02,unknown,0.05,1.618
2201,ENSG00000117632,ENSP00000117632,STMN1 protein,1.63,3.09,2.988e-06,cytoplasm,0.8099999999999999,1.618
2202,ENSG00000137124,ENSP00000137124,ALDH1B1 protein,1.66,3.17,2.871e-06,mitochondria,0.4899999999999999,1.617
2203,ENSG00000112212,ENSP00000112212,TSPO2 protein,1.61,3.05,5.052e-05,membrane,0.98,1.617
2204,ENSG00000238113,ENSP00000238113,ENSG00000238113 protein,1.71,3.27,1.905e-03,unknown,0.1,1.616
2205,ENSG00000136383,ENSP00000136383,ALPK3 protein,1.66,3.16,2.308e-02,nucleus,0.6,1.615
2206,ENSG00000277156,ENSP00000277156,ENSG00000277156 protein,1.72,3.30,2.728e-02,unknown,0.05,1.615
2207,ENSG00000248641,ENSP00000248641,ENSG00000248641 protein,1.71,3.28,1.356e-04,unknown,0.05,1.615
2208,ENSG00000188015,ENSP00000188015,S100A3 protein,1.61,3.06,2.955e-04,membrane,0.93,1.615
2209,ENSG00000166881,ENSP00000166881,NEMP1 protein,1.66,3.16,3.483e-07,nucleus,0.51,1.615
2210,ENSG00000132952,ENSP00000132952,USPL1 protein,1.62,3.08,6.832e-06,secreted,0.82,1.615
2211,ENSG00000197763,ENSP00000197763,TXNRD3 protein,1.63,3.10,5.323e-07,cytoplasm,0.73,1.614
2212,ENSG00000130741,ENSP00000130741,EIF2S3 protein,1.64,3.12,3.882e-06,cytoplasm,0.65,1.614
2213,ENSG00000112562,ENSP00000112562,SMOC2 protein,1.62,3.08,1.800e-02,secreted,0.89,1.614
2214,ENSG00000052749,ENSP00000052749,RRP12 protein,1.64,3.12,1.244e-06,nucleus,0.65,1.614
2215,ENSG00000227337,ENSP00000227337,ENSG00000227337 protein,1.71,3.28,1.613e-02,unknown,0.05,1.613
2216,ENSG00000174990,ENSP00000174990,CA5A protein,1.68,3.21,2.794e-02,mitochondria,0.3799999999999999,1.613
2217,ENSG00000165572,ENSP00000165572,KBTBD6 protein,1.63,3.09,1.052e-07,cytoplasm,0.7599999999999999,1.613
2218,ENSG00000233122,ENSP00000233122,ENSG00000233122 protein,1.71,3.27,1.889e-04,unknown,0.05,1.612
2219,ENSG00000135912,ENSP00000135912,TTLL4 protein,1.64,3.13,4.669e-08,cytoplasm,0.61,1.612
2220,ENSG00000242125,ENSP00000242125,SNHG3 protein,1.65,3.14,2.446e-05,nucleus,0.55,1.611
2221,ENSG00000239112,ENSP00000239112,SNORD123 protein,1.64,3.12,6.548e-04,nucleus,0.6200000000000001,1.611
2222,ENSG00000142528,ENSP00000142528,ZNF473 protein,1.64,3.12,2.524e-07,nucleus,0.65,1.611
2223,ENSG00000250299,ENSP00000250299,ENSG00000250299 protein,1.71,3.26,8.610e-06,unknown,0.05,1.611
2224,ENSG00000124391,ENSP00000124391,IL17C protein,1.64,3.11,3.499e-03,secreted,0.69,1.611
2225,ENSG00000227329,ENSP00000227329,ENSG00000227329 protein,1.71,3.27,5.293e-03,unknown,0.05,1.610
2226,ENSG00000159650,ENSP00000159650,UROC1 protein,1.64,3.12,2.459e-02,cytoplasm,0.68,1.609
2227,ENSG00000164284,ENSP00000164284,GRPEL2 protein,1.67,3.17,9.127e-07,mitochondria,0.4,1.609
2228,ENSG00000287584,ENSP00000287584,ENSG00000287584 protein,1.70,3.26,3.175e-04,unknown,0.05,1.608
2229,ENSG00000105849,ENSP00000105849,POLR1F protein,1.64,3.12,1.395e-07,nucleus,0.59,1.608
2230,ENSG00000270813,ENSP00000270813,ENSG00000270813 protein,1.71,3.26,7.529e-03,unknown,0.05,1.608
2231,ENSG00000237974,ENSP00000237974,ENSG00000237974 protein,1.70,3.26,3.956e-04,unknown,0.05,1.608
2232,ENSG00000276298,ENSP00000276298,ENSG00000276298 protein,1.71,3.27,2.474e-02,unknown,0.05,1.607
2233,ENSG00000130684,ENSP00000130684,ZNF337 protein,1.65,3.13,1.289e-03,nucleus,0.54,1.606
2234,ENSG00000118939,ENSP00000118939,UCHL3 protein,1.63,3.09,1.908e-04,cytoplasm,0.72,1.606
2235,ENSG00000202314,ENSP00000202314,SNORD6 protein,1.64,3.11,3.257e-05,nucleus,0.63,1.606
2236,ENSG00000156968,ENSP00000156968,MPV17L protein,1.60,3.04,3.795e-03,membrane,0.92,1.606
2237,ENSG00000171456,ENSP00000171456,ASXL1 protein,1.64,3.11,2.159e-05,nucleus,0.63,1.606
2238,ENSG00000245970,ENSP00000245970,RPL30-AS1 protein,1.64,3.11,1.998e-04,nucleus,0.63,1.605
2239,ENSG00000216775,ENSP00000216775,ENSG00000216775 protein,1.70,3.24,2.052e-06,unknown,0.1,1.605
2240,ENSG00000184492,ENSP00000184492,FOXD4L1 protein,1.65,3.13,3.272e-05,nucleus,0.52,1.605
2241,ENSG00000271833,ENSP00000271833,ENSG00000271833 protein,1.70,3.25,2.294e-03,unknown,0.05,1.605
2242,ENSG00000205403,ENSP00000205403,CFI protein,1.61,3.04,1.219e-02,membrane,0.91,1.605
2243,ENSG00000285600,ENSP00000285600,ENSG00000285600 protein,1.70,3.25,1.950e-03,unknown,0.05,1.604
2244,ENSG00000244167,ENSP00000244167,ENSG00000244167 protein,1.70,3.25,2.187e-03,unknown,0.05,1.604
2245,ENSG00000271267,ENSP00000271267,ENSG00000271267 protein,1.70,3.25,5.363e-04,unknown,0.05,1.603
2246,ENSG00000164692,ENSP00000164692,COL1A2 protein,1.61,3.05,7.779e-03,secreted,0.85,1.603
2247,ENSG00000284512,ENSP00000284512,ENSG00000284512 protein,1.65,3.15,5.059e-04,mitochondria,0.43,1.602
2248,ENSG00000233680,ENSP00000233680,ENSG00000233680 protein,1.70,3.24,6.399e-04,unknown,0.05,1.602
2249,ENSG00000188133,ENSP00000188133,TMEM215 protein,1.61,3.06,1.038e-02,membrane,0.8200000000000001,1.602
2250,ENSG00000234432,ENSP00000234432,ENSG00000234432 protein,1.70,3.24,4.146e-04,unknown,0.05,1.601
2251,ENSG00000064102,ENSP00000064102,INTS13 protein,1.63,3.10,1.015e-07,nucleus,0.61,1.600
2252,ENSG00000136104,ENSP00000136104,RNASEH2B protein,1.64,3.11,2.809e-07,nucleus,0.57,1.599
2253,ENSG00000285813,ENSP00000285813,ENSG00000285813 protein,1.69,3.24,1.803e-04,unknown,0.05,1.599
2254,ENSG00000101199,ENSP00000101199,ARFGAP1 protein,1.59,3.00,8.666e-04,membrane,0.99,1.599
2255,ENSG00000274427,ENSP00000274427,ENSG00000274427 protein,1.69,3.24,7.729e-04,unknown,0.05,1.599
2256,ENSG00000130713,ENSP00000130713,EXOSC2 protein,1.62,3.08,1.122e-08,nucleus,0.67,1.599
2257,ENSG00000188293,ENSP00000188293,IGFL1 protein,1.61,3.05,1.859e-02,secreted,0.86,1.599
2258,ENSG00000278920,ENSP00000278920,ENSG00000278920 protein,1.58,3.00,1.635e-03,membrane,0.99,1.599
2259,ENSG00000105982,ENSP00000105982,RNF32 protein,1.62,3.06,4.445e-06,cytoplasm,0.73,1.598
2260,ENSG00000204277,ENSP00000204277,ENSG00000204277 protein,1.71,3.27,4.658e-02,unknown,0.05,1.598
2261,ENSG00000107831,ENSP00000107831,FGF8 protein,1.61,3.06,2.283e-02,secreted,0.7999999999999999,1.598
2262,ENSG00000124217,ENSP00000124217,MOCS3 protein,1.63,3.09,2.372e-06,cytoplasm,0.62,1.598
2263,ENSG00000279766,ENSP00000279766,ENSG00000279766 protein,1.70,3.24,8.308e-03,unknown,0.05,1.598
2264,ENSG00000119866,ENSP00000119866,BCL11A protein,1.64,3.11,1.022e-04,nucleus,0.52,1.598
2265,ENSG00000225556,ENSP00000225556,ENSG00000225556 protein,1.69,3.23,9.942e-06,unknown,0.05,1.598
2266,ENSG00000180066,ENSP00000180066,ENSG00000180066 protein,1.69,3.24,5.571e-03,unknown,0.05,1.598
2267,ENSG00000281780,ENSP00000281780,snoZ196 protein,1.63,3.09,3.064e-03,nucleus,0.6200000000000001,1.597
2268,ENSG00000108479,ENSP00000108479,GALK1 protein,1.61,3.05,8.978e-07,cytoplasm,0.7799999999999999,1.597
2269,ENSG00000171217,ENSP00000171217,CLDN20 protein,1.59,3.02,1.858e-03,membrane,0.91,1.597
2270,ENSG00000106128,ENSP00000106128,GHRHR protein,1.58,3.00,5.467e-03,membrane,0.98,1.596
2271,ENSG00000258689,ENSP00000258689,ENSG00000258689 protein,1.70,3.24,1.619e-02,unknown,0.05,1.596
2272,ENSG00000273723,ENSP00000273723,ENSG00000273723 protein,1.68,3.21,7.338e-04,unknown,0.1,1.596
2273,ENSG00000273998,ENSP00000273998,ENSG00000273998 protein,1.69,3.23,9.727e-04,unknown,0.05,1.596
2274,ENSG00000184357,ENSP00000184357,H1-5 protein,1.64,3.13,1.319e-03,nucleus,0.4599999999999999,1.596
2275,ENSG00000197498,ENSP00000197498,RPF2 protein,1.63,3.10,4.314e-07,nucleus,0.55,1.596
2276,ENSG00000259590,ENSP00000259590,ENSG00000259590 protein,1.70,3.25,3.232e-02,unknown,0.05,1.595
2277,ENSG00000183423,ENSP00000183423,LRIT3 protein,1.60,3.03,6.579e-03,membrane,0.86,1.595
2278,ENSG00000160229,ENSP00000160229,ZNF66 protein,1.59,3.01,1.801e-04,membrane,0.92,1.594
2279,ENSG00000185090,ENSP00000185090,MANEAL protein,1.60,3.02,4.427e-04,membrane,0.85,1.594
2280,ENSG00000271781,ENSP00000271781,ENSG00000271781 protein,1.69,3.22,1.081e-03,unknown,0.05,1.593
2281,ENSG00000111581,ENSP00000111581,NUP107 protein,1.62,3.07,3.351e-08,nucleus,0.64,1.593
2282,ENSG00000233626,ENSP00000233626,ENSG00000233626 protein,1.69,3.22,3.339e-04,unknown,0.05,1.592
2283,ENSG00000014138,ENSP00000014138,POLA2 protein,1.63,3.10,1.990e-07,nucleus,0.54,1.592
2284,ENSG00000186481,ENSP00000186481,ENSG00000186481 protein,1.69,3.22,2.076e-04,unknown,0.05,1.592
2285,ENSG00000251003,ENSP00000251003,ENSG00000251003 protein,1.69,3.22,6.040e-03,unknown,0.05,1.592
2286,ENSG00000124613,ENSP00000124613,ZNF391 protein,1.61,3.06,1.351e-04,nucleus,0.6799999999999999,1.592
2287,ENSG00000174206,ENSP00000174206,KICS2 protein,1.58,2.98,9.950e-07,membrane,0.99,1.591
2288,ENSG00000133111,ENSP00000133111,RFXAP protein,1.62,3.08,7.543e-08,nucleus,0.6,1.590
2289,ENSG00000152193,ENSP00000152193,OBI1 protein,1.62,3.08,8.555e-07,nucleus,0.6,1.590
2290,ENSG00000287562,ENSP00000287562,ENSG00000287562 protein,1.68,3.21,9.440e-03,unknown,0.1,1.590
2291,ENSG00000196890,ENSP00000196890,H2BC26 protein,1.62,3.08,1.598e-02,nucleus,0.63,1.590
2292,ENSG00000164087,ENSP00000164087,POC1A protein,1.60,3.03,3.464e-07,cytoplasm,0.7599999999999999,1.589
2293,ENSG00000143507,ENSP00000143507,DUSP10 protein,1.60,3.04,8.442e-07,cytoplasm,0.73,1.589
2294,ENSG00000173473,ENSP00000173473,SMARCC1 protein,1.61,3.05,2.055e-06,nucleus,0.7100000000000001,1.589
2295,ENSG00000217241,ENSP00000217241,ENSG00000217241 protein,1.68,3.21,9.669e-05,unknown,0.05,1.589
2296,ENSG00000111845,ENSP00000111845,PAK1IP1 protein,1.63,3.09,2.315e-08,nucleus,0.51,1.588
2297,ENSG00000251307,ENSP00000251307,ENSG00000251307 protein,1.68,3.21,3.744e-04,unknown,0.05,1.588
2298,ENSG00000274002,ENSP00000274002,ENSG00000274002 protein,1.68,3.21,5.688e-04,unknown,0.05,1.588
2299,ENSG00000239374,ENSP00000239374,ENSG00000239374 protein,1.68,3.21,3.580e-03,unknown,0.05,1.588
2300,ENSG00000136295,ENSP00000136295,TTYH3 protein,1.57,2.98,1.029e-05,membrane,0.97,1.587
2301,ENSG00000279342,ENSP00000279342,ENSG00000279342 protein,1.68,3.20,7.205e-03,unknown,0.1,1.587
2302,ENSG00000147889,ENSP00000147889,CDKN2A protein,1.61,3.05,8.012e-03,nucleus,0.6799999999999999,1.587
2303,ENSG00000167523,ENSP00000167523,SPATA33 protein,1.60,3.04,1.788e-05,cytoplasm,0.72,1.587
2304,ENSG00000187123,ENSP00000187123,LYPD6 protein,1.58,2.99,2.689e-05,membrane,0.92,1.587
2305,ENSG00000262445,ENSP00000262445,ENSG00000262445 protein,1.69,3.22,2.558e-02,unknown,0.05,1.586
2306,ENSG00000267002,ENSP00000267002,ENSG00000267002 protein,1.67,3.19,9.167e-04,unknown,0.1,1.586
2307,ENSG00000188807,ENSP00000188807,TMEM201 protein,1.57,2.97,2.912e-06,membrane,1,1.586
2308,ENSG00000257803,ENSP00000257803,ENSG00000257803 protein,1.68,3.21,1.097e-02,unknown,0.05,1.586
2309,ENSG00000186184,ENSP00000186184,POLR1D protein,1.60,3.04,1.419e-06,nucleus,0.6900000000000001,1.586
2310,ENSG00000275358,ENSP00000275358,ENSG00000275358 protein,1.68,3.21,1.001e-02,unknown,0.05,1.585
2311,ENSG00000283016,ENSP00000283016,ENSG00000283016 protein,1.68,3.21,9.101e-03,unknown,0.05,1.585
2312,ENSG00000132382,ENSP00000132382,MYBBP1A protein,1.60,3.03,2.066e-06,nucleus,0.74,1.585
2313,ENSG00000155100,ENSP00000155100,OTUD6B protein,1.67,3.19,1.596e-07,unknown,0.1,1.585
2314,ENSG00000166012,ENSP00000166012,TAF1D protein,1.61,3.06,2.481e-07,nucleus,0.62,1.584
2315,ENSG00000165689,ENSP00000165689,ENTR1 protein,1.57,2.98,1.579e-07,membrane,0.94,1.584
2316,ENSG00000147408,ENSP00000147408,CSGALNACT1 protein,1.58,2.99,1.315e-04,membrane,0.89,1.584
2317,ENSG00000167900,ENSP00000167900,TK1 protein,1.60,3.04,5.221e-07,cytoplasm,0.6900000000000001,1.584
2318,ENSG00000235899,ENSP00000235899,ENSG00000235899 protein,1.68,3.20,1.637e-03,unknown,0.05,1.584
2319,ENSG00000214050,ENSP00000214050,ENSG00000214050 protein,1.67,3.18,4.980e-06,unknown,0.1,1.583
2320,ENSG00000214029,ENSP00000214029,ZNF891 protein,1.61,3.06,1.819e-05,nucleus,0.6,1.583
2321,ENSG00000261141,ENSP00000261141,ENSG00000261141 protein,1.68,3.19,3.676e-04,unknown,0.05,1.582
2322,ENSG00000229298,ENSP00000229298,ENSG00000229298 protein,1.68,3.21,1.903e-02,unknown,0.05,1.582
2323,ENSG00000275894,ENSP00000275894,ENSG00000275894 protein,1.68,3.20,7.052e-03,unknown,0.05,1.581
2324,ENSG00000100105,ENSP00000100105,PATZ1 protein,1.62,3.07,7.633e-06,nucleus,0.54,1.581
2325,ENSG00000263968,ENSP00000263968,ENSG00000263968 protein,1.68,3.20,1.019e-02,unknown,0.05,1.581
2326,ENSG00000271270,ENSP00000271270,ENSG00000271270 protein,1.67,3.18,1.251e-04,unknown,0.1,1.580
2327,ENSG00000065675,ENSP00000065675,PRKCQ protein,1.56,2.95,8.003e-05,membrane,1,1.580
2328,ENSG00000182004,ENSP00000182004,SNRPE protein,1.60,3.04,4.158e-05,nucleus,0.64,1.580
2329,ENSG00000279692,ENSP00000279692,ENSG00000279692 protein,1.67,3.19,8.148e-03,unknown,0.05,1.579
2330,ENSG00000171453,ENSP00000171453,POLR1C protein,1.60,3.04,4.108e-09,nucleus,0.63,1.579
2331,ENSG00000231519,ENSP00000231519,ENSG00000231519 protein,1.67,3.19,4.542e-04,unknown,0.05,1.579
2332,ENSG00000230479,ENSP00000230479,ENSG00000230479 protein,1.67,3.19,2.811e-03,unknown,0.05,1.579
2333,ENSG00000213588,ENSP00000213588,ZBTB9 protein,1.61,3.06,1.054e-09,nucleus,0.54,1.579
2334,ENSG00000087269,ENSP00000087269,NOP14 protein,1.60,3.02,1.473e-07,nucleus,0.7000000000000001,1.579
2335,ENSG00000233747,ENSP00000233747,ENSG00000233747 protein,1.67,3.19,1.944e-03,unknown,0.05,1.578
2336,ENSG00000267340,ENSP00000267340,ENSG00000267340 protein,1.67,3.19,9.988e-03,unknown,0.05,1.578
2337,ENSG00000130701,ENSP00000130701,RBBP8NL protein,1.60,3.03,1.109e-02,secreted,0.71,1.578
2338,ENSG00000178821,ENSP00000178821,TMEM52 protein,1.57,2.97,1.141e-06,membrane,0.8999999999999999,1.578
2339,ENSG00000218890,ENSP00000218890,ENSG00000218890 protein,1.67,3.18,2.985e-04,unknown,0.05,1.578
2340,ENSG00000204866,ENSP00000204866,IGFL2 protein,1.59,3.01,1.970e-02,secreted,0.8099999999999999,1.577
2341,ENSG00000078399,ENSP00000078399,HOXA9 protein,1.60,3.04,8.426e-06,nucleus,0.62,1.577
2342,ENSG00000154016,ENSP00000154016,GRAP protein,1.59,3.02,2.428e-04,cytoplasm,0.7000000000000001,1.577
2343,ENSG00000181191,ENSP00000181191,PJA1 protein,1.59,3.00,1.222e-04,cytoplasm,0.7599999999999999,1.576
2344,ENSG00000172766,ENSP00000172766,NAA16 protein,1.58,3.00,4.480e-07,cytoplasm,0.7699999999999999,1.576
2345,ENSG00000102007,ENSP00000102007,PLP2 protein,1.56,2.95,4.383e-06,membrane,0.96,1.576
2346,ENSG00000224186,ENSP00000224186,ENSG00000224186 protein,1.67,3.18,1.906e-05,unknown,0.05,1.575
2347,ENSG00000189091,ENSP00000189091,SF3B3 protein,1.59,3.01,3.994e-06,nucleus,0.7100000000000001,1.575
2348,ENSG00000270137,ENSP00000270137,ENSG00000270137 protein,1.67,3.18,2.080e-03,unknown,0.05,1.575
